[2,2]
("port 1","TE",1,"port 1",1,"transmission")
(101,3)
1.998616386666666562e+14 2.909686189394448605e-02 -1.764782293059351526e+00
1.997284863424383750e+14 2.905247207403904505e-02 -1.868933192877605620e+00
1.995955113182423438e+14 2.890029088098208451e-02 -1.973784716614851442e+00
1.994627132401862812e+14 2.864539769332493171e-02 -2.079456532367333743e+00
1.993300917553191562e+14 2.829259137515163086e-02 -2.185955369207892574e+00
1.991976465116279062e+14 2.784788842121578567e-02 -2.293368859540523719e+00
1.990653771580345312e+14 2.731682460081481106e-02 -2.401791125372764846e+00
1.989332833443928125e+14 2.670575922947887940e-02 -2.511299147055883640e+00
1.988013647214854062e+14 2.602122324448090732e-02 -2.622042465855875193e+00
1.986696209410205625e+14 2.526980966238823526e-02 -2.734152681379712568e+00
1.985380516556291250e+14 2.445794543009837188e-02 -2.847758511533723169e+00
1.984066565188616562e+14 2.359218916750373957e-02 -2.963069897255209195e+00
1.982754351851851875e+14 2.267916327825227063e-02 -3.080272560483794386e+00
1.981443873099801875e+14 2.172608980227143036e-02 3.083499106393905453e+00
1.980135125495376562e+14 2.073878327243427327e-02 2.961593409455946180e+00
1.978828105610560938e+14 1.972424452995059571e-02 2.836840291968595551e+00
1.977522810026385312e+14 1.868873729994127708e-02 2.708739441509355750e+00
1.976219235332894062e+14 1.763989634492092728e-02 2.576796701913870002e+00
1.974917378129117188e+14 1.658415471769418559e-02 2.440256027823440643e+00
1.973617235023041250e+14 1.552930773890974156e-02 2.298323729122617731e+00
1.972318802631579062e+14 1.448434454061328647e-02 2.149969132480113121e+00
1.971022077580539375e+14 1.345887276742359882e-02 1.993880537125876540e+00
1.969727056504599062e+14 1.246435371479535752e-02 1.828533903371781344e+00
1.968433736047275000e+14 1.151502921145056320e-02 1.652064171698787609e+00
1.967142112860892500e+14 1.062862211761719453e-02 1.462432597454948358e+00
1.965852183606557500e+14 9.826791056151184048e-03 1.257435364894078589e+00
1.964563944954128438e+14 9.135116281829216631e-03 1.035477980144013710e+00
1.963277393582187188e+14 8.583851817655760788e-03 7.959893390680814473e-01
1.961992526178010312e+14 8.202599248053006609e-03 5.408491566334560074e-01
1.960709339437540938e+14 8.016503334254328553e-03 2.747837048659138581e-01
1.959427830065359375e+14 8.039948329469026600e-03 5.484882161002575807e-03
1.958147994774656875e+14 8.269537918317432929e-03 -2.586501069633454497e-01
1.956869830287206250e+14 8.686747260007234364e-03 -5.107549606173674706e-01
1.955593333333333438e+14 9.263377222477567341e-03 -7.467254058548599138e-01
1.954318500651890312e+14 9.968055175404055834e-03 -9.656367356857874507e-01
1.953045328990227812e+14 1.077115167581173781e-02 -1.168252485121035855e+00
1.951773815104166562e+14 1.164691468830328543e-02 -1.356464014820666142e+00
1.950503955757970312e+14 1.257390748907782213e-02 -1.532437517723876264e+00
1.949235747724317188e+14 1.353524293891554715e-02 -1.698201247409553805e+00
1.947969187784275312e+14 1.451633072081104717e-02 -1.855493161788886569e+00
1.946704272727272812e+14 1.550550514645237035e-02 -2.005739760165533792e+00
