[2,2]
("port 1","TE",1,"port 1",1,"transmission")
(101,3)
1.998616386666666562e+14 2.584141972154965772e-02 -2.043419895556524146e+00
1.997284863424383750e+14 1.847969329044542308e-02 -9.863068287690575087e-01
1.995955113182423438e+14 2.965139577184547695e-02 -1.323015468113246662e+00
1.994627132401862812e+14 2.144942221327681212e-02 -1.456326724530219829e+00
1.993300917553191562e+14 2.984775937053927783e-02 -1.319688781947606415e+00
1.991976465116279062e+14 3.248776052281461546e-02 -2.044310555051464640e+00
1.990653771580345312e+14 1.049281126444697593e-02 2.627448730100453211e+00
1.989332833443928125e+14 3.273507108960565376e-02 -1.979141897034292219e-01
1.988013647214854062e+14 5.256790811511564965e-02 -1.240192177005498886e+00
1.986696209410205625e+14 4.107056548737783586e-02 -2.109702417223142223e+00
1.985380516556291250e+14 1.182321787251875735e-02 -2.356870934967892683e+00
1.984066565188616562e+14 2.069391118781198705e-02 -1.165008842424448021e+00
1.982754351851851875e+14 3.129498050544524124e-02 -1.395729751261935547e+00
1.981443873099801875e+14 4.552522742230140362e-02 -1.618558997003735511e+00
1.980135125495376562e+14 5.987810819722048233e-02 -2.214613112992205757e+00
1.978828105610560938e+14 5.050591331701415748e-02 -3.049359114371897661e+00
1.977522810026385312e+14 1.636139098957990409e-02 2.080944339381760155e+00
1.976219235332894062e+14 2.535682221874055453e-02 -1.241376976724397396e+00
1.974917378129117188e+14 4.543849018111562749e-02 -2.124587462859615528e+00
1.973617235023041250e+14 4.554587948590942126e-02 -2.640908141501692175e+00
1.972318802631579062e+14 4.846396286416739668e-02 -2.938932729598171090e+00
1.971022077580539375e+14 5.174300060072259400e-02 2.775803214490131232e+00
1.969727056504599062e+14 3.439964021091969359e-02 1.963380397939045174e+00
1.968433736047275000e+14 1.500171257494242955e-03 -1.051584296644338112e-01
1.967142112860892500e+14 2.722980168632358616e-02 -2.893401386931147456e+00
1.965852183606557500e+14 2.990665430103042408e-02 2.487043913792073457e+00
1.964563944954128438e+14 9.726603539443160612e-03 2.008658108608134985e+00
1.963277393582187188e+14 1.862051301540946710e-02 -2.939656127806896890e+00
1.961992526178010312e+14 2.704062538341469105e-02 2.744084156561031218e+00
1.960709339437540938e+14 2.145256764841245445e-02 2.623835577723388823e+00
1.959427830065359375e+14 3.396700725540203331e-02 2.624427274146689637e+00
1.958147994774656875e+14 4.293229107020369445e-02 1.897870412721620825e+00
1.956869830287206250e+14 2.684354578476257774e-02 8.421032022568109010e-01
1.955593333333333438e+14 1.405542507670352013e-02 -2.072642866292318864e+00
1.954318500651890312e+14 4.004883239827101982e-02 2.734783391746368419e+00
1.953045328990227812e+14 4.311037389819161875e-02 1.802751183897296938e+00
1.951773815104166562e+14 2.320680560300265871e-02 1.241294273199720299e+00
1.950503955757970312e+14 1.863802876406139841e-02 1.862132913303632176e+00
1.949235747724317188e+14 2.659345771128501096e-02 1.499499483544101341e+00
1.947969187784275312e+14 1.603654447952847922e-02 1.199883090708728339e+00
1.946704272727272812e+14 2.040788217808858426e-02 1.817250052798650595e+00
1.945440999351070938e+14 3.022820010996435727e-02 1.213072292632705995e+00
1.944179364461737812e+14 1.566811773280078063e-02 2.150851571030311105e-01
1.942919364873622500e+14 1.828741312214297171e-02 2.924348197344323719e+00
1.941660997409326250e+14 4.586319278965356183e-02 1.880535069682400140e+00
1.940404258899676562e+14 4.841534253578140545e-02 9.999695227668851105e-01
1.939149146183699688e+14 2.636608915712796569e-02 3.639854750796420180e-01
1.937895656108597188e+14 1.493027668972216927e-02 1.062048752509420879e+00
