[2,2]
("port 1","TE",1,"port 1",1,"transmission")
(101,3)
1.998616386666666562e+14 9.512545005267022957e-02 2.908454923703603701e+00
1.997284863424383750e+14 9.665498273958013364e-02 2.910334627582221056e+00
1.995955113182423438e+14 9.785101062516417258e-02 2.908365003592359166e+00
1.994627132401862812e+14 9.862372000064564825e-02 2.903854559738689112e+00
1.993300917553191562e+14 9.893341148085998960e-02 2.898361492616314816e+00
1.991976465116279062e+14 9.877735079450235267e-02 2.893272899793232877e+00
1.990653771580345312e+14 9.818592323969695113e-02 2.889979455148001364e+00
1.989332833443928125e+14 9.722685630107982813e-02 2.889848582801781252e+00
1.988013647214854062e+14 9.600740789960179877e-02 2.894031891819437874e+00
1.986696209410205625e+14 9.465936759805144984e-02 2.903457670776164790e+00
1.985380516556291250e+14 9.334732398437048384e-02 2.918729239169277623e+00
1.984066565188616562e+14 9.223420718213083680e-02 2.939877255960289482e+00
1.982754351851851875e+14 9.149629045369024605e-02 2.966359219845485562e+00
1.981443873099801875e+14 9.127465904806927877e-02 2.996883764817506624e+00
1.980135125495376562e+14 9.168169759822389353e-02 3.029595823623222106e+00
1.978828105610560938e+14 9.277005881899838546e-02 3.062272180360722462e+00
1.977522810026385312e+14 9.452457893919144483e-02 3.092661710308222123e+00
1.976219235332894062e+14 9.688783582558467555e-02 3.118891020088652155e+00
1.974917378129117188e+14 9.973837938923842128e-02 3.139551168865144959e+00
1.973617235023041250e+14 1.029354684565861877e-01 -3.129172453098165718e+00
1.972318802631579062e+14 1.063172408054019746e-01 -3.121006109735836365e+00
1.971022077580539375e+14 1.097347128834153668e-01 -3.118753317853180995e+00
1.969727056504599062e+14 1.130336286111013611e-01 -3.121668731991484869e+00
1.968433736047275000e+14 1.161066386744167983e-01 -3.128850031401208209e+00
1.967142112860892500e+14 1.188483795775295282e-01 -3.139275610306058617e+00
1.965852183606557500e+14 1.212021991114346775e-01 3.131247050268426868e+00
1.964563944954128438e+14 1.231229513569432749e-01 3.117384093019359259e+00
1.963277393582187188e+14 1.245996316317724145e-01 3.103230618270246044e+00
1.961992526178010312e+14 1.256678122780956197e-01 3.089697973205324910e+00
